year,field,foreign_female_by_field
2015,Police/Protection of the Constitution,21
2015,Polish,31
2015,Portuguese,30
2015,Psychology,3903
2015,Spatial Planning,559
2015,Administration of Justice,
2015,Law,6723
2015,Renewable Energy,65
2015,Religious Studies,151
2015,Restoration Studies,57
2015,Rhythmics,4
2015,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",1060
2015,Russian,294
2015,General Studies (including School Garden),4
2015,Drama Studies,21
2015,Naval Architecture/Ship Technology,24
2015,School Pedagogy,40
2015,Sinology/Korean Studies,492
2015,Slavic Studies (Slavic Philology),684
2015,Special Needs Education,296
2015,Other subjects,1023
2015,Other regional studies,141
2015,Sorabistics,2
2015,Social Work,1905
2015,Social Studies,88
2015,Social Pedagogy,213
2015,Social Security Administration,12
2015,Applied Social Science,893
2015,Social Sciences,1449
2015,Sociology,1309
2015,Spanish,687
2015,Sports Management/Sports Economics,56
2015,Sports Education/Sports Psychology,150
2015,Sports Science,273
2015,Steel Construction,1
2015,Foundation Course,21
2015,"South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",8
2015,Dance Education,146
2015,Technical Cybernetics,14
2015,Technomathematics,54
2015,Textile Design,476
2015,Textile and Clothing Technology/Industry,320
2015,Theatre Studies,302
2015,Veterinary Medicine,412
2015,Animal Production,19
2015,Sound Engineering,14
2015,Tourism Management,764
2015,Transport and Conveying Technology,4
2015,Czech,11
2015,Turkish Studies,134
2015,Environmental Protection,261
2015,Environmental Technology (including Recycling),552
2015,Prehistory and Early History,52
2015,Process Engineering,761
2015,Transport Engineering,214
2015,Transport Economics,138
2015,Surveying (Geodesy),333
2015,Supply Technology,79
2015,Administrative Science/Public Administration,407
2015,Folklore,128
2015,Economics,2314
2015,Hydraulic Engineering,99
2015,Water Management,182
2015,Viticulture and Oenology,58
2015,Handicrafts (technical)/Technology,17
2015,Handicrafts Education,1
2015,Materials Technology,522
2015,Western Slavic (general and n.e.c.),15
2015,Economic/Social Geography,14
2015,Economic/Social History,11
2015,Business Informatics,2625
2015,Business Engineering spec. in Engineering Sciences,2739
2015,Business Engineering specialising in Economics,1535
2015,Business Mathematics,693
2015,Business and Economics Education,249
2015,Business Law,1027
2015,Business and Economics,6016
2015,History of Science/History of Technology,4
2015,Dentistry,1178
2015,Customs and Tax Administration,5
2016,Waste Management,
2016,African Studies,198
2016,Agricultural Biology,121
2016,Agricultural Economics,228
2016,Agricultural Science/Agriculture,1016
2016,Egyptology,71
2016,General Linguistics/Indo-European Studies,948
2016,General Literary Studies,504
2016,Ancient History,20
2016,American Studies,570
2016,Applied Art,367
2016,Applied Linguistics,850
2016,Applied Systems Science,152
2016,English Studies,3918
2016,Anthropology (Human Biology),105
2016,Arabic/Arabic Studies,62
2016,Work Studies/Business Studies,74
2016,Occupational Guidance and Career Counselling,3
2016,Labour Administration,7
2016,Archaeology,274
2016,Archaeometry (Archaeological Engineering),2
2016,Architecture,4332
2016,Archive and Documentation Science,37
2016,Archive Studies,12
2016,Asian Languages and Cultures/Asian Studies,418
2016,Astrophysics and Astronomy,80
2016,Ophthalmic Optics,34
2016,Immigrant Education,41
2016,Non-Europ. Lang. and Cult. in Oceania and America,86
2016,Foreign Affairs Administration,
2016,Baltic Studies,2
2016,Banking,7
2016,Civil Engineering/Structural Engineering,2727
2016,Mining/Mine Engineering,119
2016,Occupation-specific Foreign Language Training,262
2016,"Vocational, Business and Economics Education",51
2016,Business Administration,14440
2016,Librarianship,
2016,Fine Arts/Graphics,717
2016,Sculpting/Statuary Art,110
2016,Biochemistry,665
2016,Bioinformatics,204
2016,Biology,3952
2016,Biomedicine,320
2016,Biotechnology,766
2016,Brewing Science/Beverage Technology,34
2016,Armed Forces Administration,
2016,Byzantine Studies,10
2016,Caritas Science,11
2016,Chemistry,3036
2016,Chemical Engineering/Chemical Process Technology,767
2016,Computer Linguistics,329
2016,Computer and Communication Technology,399
2016,Danish,1
2016,Performing Arts/Stagecraft/Directing,297
2016,German as a Foreign or Second Language,1630
2016,Pastoral Care Studies,14
2016,Conducting,75
2016,Printing and Reproduction Technology,133
2016,Gemstone and Jewellery Design,31
2016,Electrical Power Engineering,148
2016,Electrical Engineering/Electronics,3382
2016,Energy Process Engineering,347
2016,Nutritional Science,256
2016,Adult Education and Extracurricular Youth Educat.,118
